PlayerID,Player,Pos,Tm,G,MP,FGA,3P,3PA,3P%,2P,2PA,2P%,Season
afflaar01,Arron Afflalo,SG,DEN,82,2221,585,108,249,0.434,164,336,0.488,2009-2010
ajincal01,Alexis Ajinça,C,CHA,6,30,10,0,0,,5,10,0.5,2009-2010
aldrila01,LaMarcus Aldridge,PF,POR,78,2922,1169,5,16,0.313,574,1153,0.498,2009-2010
alexajo01,Joe Alexander,SF,CHI,8,29,6,0,1,0.0,1,5,0.2,2009-2010
allenma01,Malik Allen,PF,DEN,51,456,116,1,6,0.167,45,110,0.409,2009-2010
allenra02,Ray Allen*,SG,BOS,80,2819,973,145,399,0.363,319,574,0.556,2009-2010
allento01,Tony Allen,SG,BOS,54,889,253,0,5,0.0,129,248,0.52,2009-2010
alstora01,Rafer Alston,PG,TOT,52,1421,446,58,168,0.345,97,278,0.349,2009-2010
amundlo01,Lou Amundson,PF,PHO,79,1168,276,0,1,0.0,152,275,0.553,2009-2010
anderch01,Chris Andersen,PF,DEN,76,1695,251,0,3,0.0,142,248,0.573,2009-2010
anderda03,David Andersen,C,HOU,63,891,340,27,78,0.346,120,262,0.458,2009-2010
anderan02,Antonio Anderson,SF,OKC,1,15,3,0,0,,1,3,0.333,2009-2010
anderry01,Ryan Anderson,PF,ORL,63,911,388,78,211,0.37,91,177,0.514,2009-2010
anthoca01,Carmelo Anthony,SF,DEN,69,2634,1502,59,187,0.316,629,1315,0.478,2009-2010
anthojo01,Joel Anthony,C,MIA,80,1322,159,0,0,,76,159,0.478,2009-2010
arenagi01,Gilbert Arenas,PG,WAS,32,1169,616,63,181,0.348,190,435,0.437,2009-2010
arizatr01,Trevor Ariza,SF,HOU,72,2629,999,136,407,0.334,258,592,0.436,2009-2010
armsthi01,Hilton Armstrong,PF,TOT,33,335,79,0,1,0.0,28,78,0.359,2009-2010
arroyca01,Carlos Arroyo,PG,MIA,72,1585,375,7,25,0.28,171,350,0.489,2009-2010
arthuda01,Darrell Arthur,PF,MEM,32,457,146,0,1,0.0,63,145,0.434,2009-2010
atkinch01,Chucky Atkins,PG,DET,40,644,157,22,73,0.301,35,84,0.417,2009-2010
augusdj01,D.J. Augustin,PG,CHA,80,1472,435,70,178,0.393,98,257,0.381,2009-2010
pendeje02,Jeff Ayres,C,POR,39,405,65,0,0,,43,65,0.662,2009-2010
azubuke01,Kelenna Azubuike,SF,GSW,9,231,88,10,27,0.37,38,61,0.623,2009-2010
balkmre01,Renaldo Balkman,SF,DEN,13,91,18,0,7,0.0,6,11,0.545,2009-2010
banksma01,Marcus Banks,PG,TOR,22,244,73,7,24,0.292,32,49,0.653,2009-2010
barbole01,Leandro Barbosa,PG,PHO,44,786,365,44,136,0.324,111,229,0.485,2009-2010
