PlayerID,Player,Pos,Tm,G,MP,FGA,3P,3PA,3P%,2P,2PA,2P%,Season
abdursh01,Shareef Abdur-Rahim,PF,SAC,6,51,14,0,0,,3,14,0.214,2007-2008
afflaar01,Arron Afflalo,SG,DET,75,970,241,10,48,0.208,89,193,0.461,2007-2008
agerma01,Maurice Ager,SG,TOT,26,165,65,3,19,0.158,18,46,0.391,2007-2008
ahearbl01,Blake Ahearn,PG,MIA,12,177,57,10,34,0.294,5,23,0.217,2007-2008
aldrila01,LaMarcus Aldridge,PF,POR,76,2649,1160,1,7,0.143,560,1153,0.486,2007-2008
allenma01,Malik Allen,PF,TOT,73,1096,327,1,2,0.5,156,325,0.48,2007-2008
allenra02,Ray Allen*,SG,BOS,73,2624,986,180,452,0.398,259,534,0.485,2007-2008
allento01,Tony Allen,SG,BOS,75,1373,389,18,57,0.316,151,332,0.455,2007-2008
allrela01,Lance Allred,C,CLE,3,10,4,0,0,,1,4,0.25,2007-2008
almonmo01,Morris Almond,SG,UTA,9,39,15,1,4,0.25,3,11,0.273,2007-2008
alstora01,Rafer Alston,PG,HOU,74,2526,924,143,407,0.351,221,517,0.427,2007-2008
amundlo01,Lou Amundson,PF,PHI,16,64,16,0,0,,8,16,0.5,2007-2008
anderch01,Chris Andersen,C,NOH,5,34,7,0,0,,2,7,0.286,2007-2008
anderde01,Derek Anderson,SG,CHA,28,396,125,19,52,0.365,28,73,0.384,2007-2008
anthoca01,Carmelo Anthony,SF,DEN,77,2806,1481,58,164,0.354,670,1317,0.509,2007-2008
anthojo01,Joel Anthony,PF,MIA,24,498,60,0,0,,28,60,0.467,2007-2008
arenagi01,Gilbert Arenas,PG,WAS,13,425,196,22,78,0.282,56,118,0.475,2007-2008
arizatr01,Trevor Ariza,SF,TOT,35,546,136,5,18,0.278,64,118,0.542,2007-2008
armstda01,Darrell Armstrong,PG,NJN,50,549,110,23,69,0.333,17,41,0.415,2007-2008
armsthi01,Hilton Armstrong,C,NOH,65,732,148,0,0,,67,148,0.453,2007-2008
arroyca01,Carlos Arroyo,PG,ORL,62,1269,348,29,84,0.345,128,264,0.485,2007-2008
atkinch01,Chucky Atkins,SG,DEN,24,352,122,25,79,0.316,17,43,0.395,2007-2008
augusja01,James Augustine,PF,ORL,25,149,34,0,0,,18,34,0.529,2007-2008
azubuke01,Kelenna Azubuike,SG,GSW,81,1732,587,71,195,0.364,190,392,0.485,2007-2008
balkmre01,Renaldo Balkman,SF,NYK,65,952,186,1,12,0.083,90,174,0.517,2007-2008
banksma01,Marcus Banks,PG,TOT,36,569,191,40,102,0.392,46,89,0.517,2007-2008
barbole01,Leandro Barbosa,SG,PHO,82,2421,1021,164,422,0.389,308,599,0.514,2007-2008
bareajo01,J.J. Barea,PG,DAL,44,460,170,21,54,0.389,50,116,0.431,2007-2008
bargnan01,Andrea Bargnani,PF,TOR,78,1861,725,90,261,0.345,190,464,0.409,2007-2008
barnema02,Matt Barnes,PF,GSW,73,1414,442,53,181,0.293,134,261,0.513,2007-2008
barrean01,Andre Barrett,PG,LAC,4,25,5,1,3,0.333,1,2,0.5,2007-2008
barroea01,Earl Barron,C,MIA,46,889,327,1,13,0.077,131,314,0.417,2007-2008
barrybr01,Brent Barry,SF,SAS,31,554,160,48,112,0.429,29,48,0.604,2007-2008
bassbr01,Brandon Bass,C,DAL,79,1557,493,0,4,0.0,246,489,0.503,2007-2008
bastoma01,Maceo Baston,PF,TOR,15,103,25,0,0,,17,25,0.68,2007-2008
battish01,Shane Battier,SF,HOU,80,2907,619,139,369,0.377,126,250,0.504,2007-2008
belinma01,Marco Belinelli,SG,GSW,33,241,93,16,41,0.39,20,52,0.385,2007-2008
bellch01,Charlie Bell,SG,MIL,68,1628,486,74,217,0.341,111,269,0.413,2007-2008
bellra01,Raja Bell,SG,PHO,75,2646,753,176,439,0.401,141,314,0.449,2007-2008
bibbymi01,Mike Bibby,PG,TOT,48,1573,603,93,248,0.375,155,355,0.437,2007-2008
biedran01,Andris Biedriņš,C,GSW,76,2078,543,0,0,,340,543,0.626,2007-2008
billuch01,Chauncey Billups,PG,DET,78,2522,877,137,342,0.401,256,535,0.479,2007-2008
blakest01,Steve Blake,PG,POR,81,2424,640,121,298,0.406,140,342,0.409,2007-2008
blatcan01,Andray Blatche,PF,WAS,82,1675,536,3,13,0.231,251,523,0.48,2007-2008
blounma01,Mark Blount,C,MIA,69,1542,515,17,44,0.386,221,471,0.469,2007-2008
boganke01,Keith Bogans,SG,ORL,82,2198,588,148,409,0.362,93,179,0.52,2007-2008
bogutan01,Andrew Bogut,C,MIL,78,2720,910,0,7,0.0,465,903,0.515,2007-2008
bonnema01,Matt Bonner,PF,SAS,68,853,291,46,137,0.336,75,154,0.487,2007-2008
boonejo01,Josh Boone,PF,NJN,70,1773,434,0,0,,238,434,0.548,2007-2008
boothca01,Calvin Booth,C,PHI,31,204,27,0,0,,9,27,0.333,2007-2008
boozeca01,Carlos Boozer,PF,UTA,81,2827,1297,0,1,0.0,709,1296,0.547,2007-2008
boshch01,Chris Bosh*,C,TOR,67,2425,1027,10,25,0.4,497,1002,0.496,2007-2008
bowenbr01,Bruce Bowen,SF,SAS,81,2448,428,90,215,0.419,84,213,0.394,2007-2008
bowenry01,Ryan Bowen,SF,NOH,53,660,100,0,1,0.0,49,99,0.495,2007-2008
boykiea01,Earl Boykins,PG,CHA,36,577,172,14,44,0.318,47,128,0.367,2007-2008
brandel01,Elton Brand,PF,LAC,8,274,114,0,0,,52,114,0.456,2007-2008
breweco01,Corey Brewer,SF,MIN,79,1803,486,7,36,0.194,175,450,0.389,2007-2008
brewero02,Ronnie Brewer,SG,UTA,76,2088,634,11,50,0.22,343,584,0.587,2007-2008
brezepr01,Primož Brezec,C,TOT,50,475,94,0,0,,44,94,0.468,2007-2008
brookaa01,Aaron Brooks,PG,HOU,51,608,225,36,109,0.33,57,116,0.491,2007-2008
brownan01,Andre Brown,PF,MEM,33,286,78,0,0,,39,78,0.5,2007-2008
brownde02,Devin Brown,SG,CLE,78,1762,531,45,146,0.308,172,385,0.447,2007-2008
brownkw01,Kwame Brown,C,TOT,38,713,142,0,0,,72,142,0.507,2007-2008
brownpj01,P.J. Brown,PF,BOS,18,209,41,0,1,0.0,14,40,0.35,2007-2008
brownsh01,Shannon Brown,SG,TOT,21,240,126,9,30,0.3,35,96,0.365,2007-2008
