PlayerID,Player,Pos,Tm,G,MP,FGA,3P,3PA,3P%,2P,2PA,2P%,Season
abdulta01,Tariq Abdul-Wahad,SG,DAL,14,204,58,0,1,0.0,27,57,0.474,2002-2003
abdursh01,Shareef Abdur-Rahim,PF,ATL,81,3087,1183,21,60,0.35,545,1123,0.485,2002-2003
alexaco02,Courtney Alexander,PG,NOH,66,1360,505,19,57,0.333,174,448,0.388,2002-2003
allenma01,Malik Allen,PF,MIA,80,2318,790,0,4,0.0,335,786,0.426,2002-2003
allenra02,Ray Allen*,SG,TOT,76,2880,1363,201,533,0.377,397,830,0.478,2002-2003
alstora01,Rafer Alston,PG,TOR,47,980,335,51,130,0.392,88,205,0.429,2002-2003
amaecjo01,John Amaechi,C,UTA,50,474,118,0,0,,37,118,0.314,2002-2003
anderch01,Chris Andersen,C,DEN,59,907,285,0,1,0.0,114,284,0.401,2002-2003
anderde01,Derek Anderson,PG,POR,76,2556,832,116,331,0.35,239,501,0.477,2002-2003
anderke01,Kenny Anderson,PG,TOT,61,1135,382,1,7,0.143,162,375,0.432,2002-2003
andersh01,Shandon Anderson,SF,NYK,82,1731,537,52,140,0.371,196,397,0.494,2002-2003
archiro01,Robert Archibald,PF,MEM,12,72,20,0,0,,6,20,0.3,2002-2003
arenagi01,Gilbert Arenas,PG,GSW,82,2866,1180,109,313,0.348,400,867,0.461,2002-2003
armstbr01,Brandon Armstrong,SG,NJN,17,69,27,1,6,0.167,8,21,0.381,2002-2003
armstda01,Darrell Armstrong,PG,ORL,82,2350,643,78,232,0.336,185,411,0.45,2002-2003
arroyca01,Carlos Arroyo,PG,UTA,44,287,109,3,7,0.429,47,102,0.461,2002-2003
atkinch01,Chucky Atkins,PG,DET,65,1398,465,86,242,0.355,82,223,0.368,2002-2003
augmost01,Stacey Augmon,SG,NOH,70,862,192,0,7,0.0,79,185,0.427,2002-2003
bagarda01,Dalibor Bagarić,C,CHI,10,76,26,0,0,,8,26,0.308,2002-2003
bakervi01,Vin Baker,C,BOS,52,942,207,0,4,0.0,99,203,0.488,2002-2003
barrybr01,Brent Barry,SG,SEA,75,2480,577,118,293,0.403,146,284,0.514,2002-2003
barryjo01,Jon Barry,SG,DET,80,1473,424,87,214,0.407,104,210,0.495,2002-2003
bastoma01,Maceo Baston,PF,TOR,16,106,25,0,0,,15,25,0.6,2002-2003
bateeme01,Mengke Bateer,C,SAS,12,46,17,1,3,0.333,3,14,0.214,2002-2003
batismi01,Mike Batiste,PF,MEM,75,1248,467,18,81,0.222,179,386,0.464,2002-2003
battito01,Tony Battie,C,BOS,67,1683,369,1,5,0.2,198,364,0.544,2002-2003
battish01,Shane Battier,SF,MEM,78,2383,569,86,216,0.398,189,353,0.535,2002-2003
baxtelo01,Lonny Baxter,C,CHI,55,682,206,0,2,0.0,96,204,0.471,2002-2003
bellra01,Raja Bell,SG,DAL,75,1173,211,21,51,0.412,72,160,0.45,2002-2003
bendejo01,Jonathan Bender,SF,IND,46,819,254,19,53,0.358,93,201,0.463,2002-2003
benjaco01,Corey Benjamin,SG,ATL,9,152,43,2,13,0.154,11,30,0.367,2002-2003
besttr01,Travis Best,PG,MIA,72,1807,583,36,109,0.33,195,474,0.411,2002-2003
bibbymi01,Mike Bibby,PG,SAC,55,1835,700,56,137,0.409,273,563,0.485,2002-2003
billuch01,Chauncey Billups,PG,DET,74,2327,870,149,380,0.392,217,490,0.443,2002-2003
blounco01,Corie Blount,C,CHI,50,836,134,0,0,,65,134,0.485,2002-2003
blounma01,Mark Blount,C,TOT,81,1403,347,0,0,,150,347,0.432,2002-2003
boothca01,Calvin Booth,C,SEA,47,575,119,0,2,0.0,52,117,0.444,2002-2003
boozeca01,Carlos Boozer,PF,CLE,81,2049,618,0,1,0.0,331,617,0.536,2002-2003
boumtru01,Ruben Boumtje-Boumtje,C,POR,2,5,1,0,0,,0,1,0.0,2002-2003
bowenbr01,Bruce Bowen,SF,SAS,82,2566,479,101,229,0.441,122,250,0.488,2002-2003
bowenry01,Ryan Bowen,SG,DEN,62,996,197,2,7,0.286,95,190,0.5,2002-2003
boykiea01,Earl Boykins,PG,GSW,68,1321,464,29,77,0.377,170,387,0.439,2002-2003
bradlmi01,Michael Bradley,PF,TOR,67,1314,314,1,6,0.167,150,308,0.487,2002-2003
bradlsh01,Shawn Bradley,C,DAL,81,1731,375,0,1,0.0,201,374,0.537,2002-2003
brandel01,Elton Brand,PF,LAC,62,2454,899,0,1,0.0,451,898,0.502,2002-2003
bremejr01,J.R. Bremer,PG,BOS,64,1503,464,101,286,0.353,70,178,0.393,2002-2003
breweja01,Jamison Brewer,PG,IND,10,80,17,0,2,0.0,9,15,0.6,2002-2003
brezepr01,Primož Brezec,C,IND,22,111,38,0,1,0.0,15,37,0.405,2002-2003
brownda02,Damone Brown,PF,TOR,5,115,35,0,2,0.0,11,33,0.333,2002-2003
brownde02,Devin Brown,SG,TOT,10,93,35,0,1,0.0,12,34,0.353,2002-2003
brownke01,Kedrick Brown,SF,BOS,51,666,171,3,39,0.077,58,132,0.439,2002-2003
brownkw01,Kwame Brown,C,WAS,80,1773,502,0,3,0.0,224,499,0.449,2002-2003
brownpj01,P.J. Brown,PF,NOH,78,2609,601,0,3,0.0,319,598,0.533,2002-2003
brownra02,Randy Brown,PG,PHO,32,262,43,0,0,,16,43,0.372,2002-2003
brownti01,Tierre Brown,PG,CLE,15,168,59,0,1,0.0,27,58,0.466,2002-2003
brunsri01,Rick Brunson,PG,CHI,17,196,50,4,6,0.667,19,44,0.432,2002-2003
bryanko01,Kobe Bryant*,SG,LAL,82,3401,1924,124,324,0.383,744,1600,0.465,2002-2003
bryanma01,Mark Bryant,PF,TOT,16,100,19,0,0,,5,19,0.263,2002-2003
buckngr01,Greg Buckner,SG,PHI,75,1514,398,15,55,0.273,170,343,0.496,2002-2003
burkepa01,Pat Burke,C,ORL,62,783,296,1,7,0.143,112,289,0.388,2002-2003
butleca01,Caron Butler,SF,MIA,78,2858,1032,34,107,0.318,395,925,0.427,2002-2003
butlera01,Rasual Butler,SG,MIA,72,1514,572,50,171,0.292,157,401,0.392,2002-2003
caffeja01,Jason Caffey,PF,MIL,51,894,248,0,0,,113,248,0.456,2002-2003
cambyma01,Marcus Camby,C,DEN,29,616,227,2,5,0.4,91,222,0.41,2002-2003
campbel01,Elden Campbell,C,TOT,56,869,295,0,1,0.0,117,294,0.398,2002-2003
cardibr01,Brian Cardinal,PF,WAS,5,15,4,0,1,0.0,1,3,0.333,2002-2003
cartean01,Anthony Carter,PG,MIA,49,912,233,0,8,0.0,83,225,0.369,2002-2003
cartevi01,Vince Carter,SG,TOR,43,1471,760,45,131,0.344,310,629,0.493,2002-2003
cassesa01,Sam Cassell,PG,MIL,78,2700,1162,59,163,0.362,487,999,0.487,2002-2003
catoke01,Kelvin Cato,C,HOU,73,1247,256,0,4,0.0,133,252,0.528,2002-2003
chandty01,Tyson Chandler,C,CHI,75,1827,484,0,0,,257,484,0.531,2002-2003
cheanca01,Calbert Cheaney,SG,UTA,81,2351,651,10,25,0.4,315,626,0.503,2002-2003
childch01,Chris Childs,PG,NJN,12,106,20,1,6,0.167,5,14,0.357,2002-2003
chrisdo01,Doug Christie,SG,SAC,80,2710,557,73,185,0.395,194,372,0.522,2002-2003
clarkke01,Keon Clark,C,SAC,80,1780,451,0,4,0.0,226,447,0.506,2002-2003
claxtsp01,Speedy Claxton,PG,SAS,30,471,145,0,11,0.0,67,134,0.5,2002-2003
cleavma01,Mateen Cleaves,PG,SAC,12,55,23,1,1,1.0,5,22,0.227,2002-2003
colemde01,Derrick Coleman,C,PHI,64,1742,498,22,67,0.328,201,431,0.466,2002-2003
colesbi01,Bimbo Coles,PG,TOT,35,691,168,7,32,0.219,49,136,0.36,2002-2003
collija02,Jason Collier,C,HOU,13,104,36,0,0,,17,36,0.472,2002-2003
collija03,Jarron Collins,C,UTA,22,421,86,0,1,0.0,38,85,0.447,2002-2003
collija04,Jason Collins,C,NJN,81,1900,338,0,4,0.0,140,334,0.419,2002-2003
crawfch01,Chris Crawford,PF,ATL,5,38,13,1,3,0.333,7,10,0.7,2002-2003
crawfja01,Jamal Crawford,PG,CHI,80,1992,808,86,242,0.355,248,566,0.438,2002-2003
croshau01,Austin Croshere,PF,IND,49,633,209,27,69,0.391,59,140,0.421,2002-2003
crottjo01,John Crotty,PG,DEN,12,180,41,4,13,0.308,10,28,0.357,2002-2003
curryed01,Eddy Curry,C,CHI,81,1571,573,0,0,,335,573,0.585,2002-2003
currymi01,Michael Curry,SF,DET,78,1555,229,16,54,0.296,76,175,0.434,2002-2003
dampier01,Erick Dampier,C,GSW,82,1978,522,0,2,0.0,259,520,0.498,2002-2003
daniean01,Antonio Daniels,SG,POR,67,872,186,18,59,0.305,66,127,0.52,2002-2003
davisan01,Antonio Davis,C,TOR,53,1894,641,0,0,,261,641,0.407,2002-2003
davisba01,Baron Davis,PG,NOH,50,1889,798,99,283,0.35,233,515,0.452,2002-2003
davisda01,Dale Davis,C,POR,78,2282,438,0,0,,237,438,0.541,2002-2003
davisem01,Emanual Davis,SG,ATL,24,340,88,7,29,0.241,25,59,0.424,2002-2003
davishu01,Hubert Davis,SG,DET,43,328,79,12,36,0.333,19,43,0.442,2002-2003
davisri01,Ricky Davis,SG,CLE,79,3131,1470,74,204,0.363,528,1266,0.417,2002-2003
declean01,Andrew DeClercq,C,ORL,77,1327,279,0,0,,149,279,0.534,2002-2003
delkto01,Tony Delk,PG,BOS,67,1873,560,120,304,0.395,113,256,0.441,2002-2003
dickada01,Dan Dickau,PG,ATL,50,515,170,22,61,0.361,48,109,0.44,2002-2003
dickemi01,Michael Dickerson,SG,MEM,6,87,24,4,11,0.364,6,13,0.462,2002-2003
diopde01,DeSagana Diop,PF,CLE,80,943,154,0,0,,54,154,0.351,2002-2003
