PlayerID,Player,Pos,Tm,G,MP,FGA,3P,3PA,3P%,2P,2PA,2P%,Season
abrinal01,Álex Abrines,SG,OKC,31,588,157,41,127,0.323,15,30,0.5,2018-2019
acyqu01,Quincy Acy,PF,PHO,10,123,18,2,15,0.133,2,3,0.667,2018-2019
adamsja01,Jaylen Adams,PG,ATL,34,428,110,25,74,0.338,13,36,0.361,2018-2019
adamsst01,Steven Adams,C,OKC,80,2669,809,0,2,0.0,481,807,0.596,2018-2019
adebaba01,Bam Adebayo,C,MIA,82,1913,486,3,15,0.2,277,471,0.588,2018-2019
adelde01,Deng Adel,SF,CLE,19,194,36,6,23,0.261,5,13,0.385,2018-2019
akoonde01,DeVaughn Akoon-Purcell,SG,DEN,7,22,10,0,4,0.0,3,6,0.5,2018-2019
aldrila01,LaMarcus Aldridge,C,SAS,81,2687,1319,10,42,0.238,674,1277,0.528,2018-2019
alkinra01,Rawle Alkins,SG,CHI,10,120,39,3,12,0.25,10,27,0.37,2018-2019
allengr01,Grayson Allen,SG,UTA,38,416,178,32,99,0.323,35,79,0.443,2018-2019
allenja01,Jarrett Allen,C,BRK,80,2096,568,6,45,0.133,329,523,0.629,2018-2019
allenka01,Kadeem Allen,PG,NYK,19,416,141,17,36,0.472,48,105,0.457,2018-2019
aminual01,Al-Farouq Aminu,PF,POR,81,2292,593,96,280,0.343,161,313,0.514,2018-2019
anderju01,Justin Anderson,SF,ATL,48,463,157,24,77,0.312,40,80,0.5,2018-2019
anderky01,Kyle Anderson,SF,MEM,43,1281,276,9,34,0.265,141,242,0.583,2018-2019
anderry01,Ryan Anderson,PF,TOT,25,322,69,9,40,0.225,12,29,0.414,2018-2019
anigbik01,Ike Anigbogu,C,IND,3,6,3,0,0,,0,3,0.0,2018-2019
antetgi01,Giannis Antetokounmpo,PF,MIL,72,2358,1247,52,203,0.256,669,1044,0.641,2018-2019
antetko01,Kostas Antetokounmpo,PF,DAL,2,11,3,0,0,,0,3,0.0,2018-2019
anthoca01,Carmelo Anthony,PF,HOU,10,294,121,21,64,0.328,28,57,0.491,2018-2019
anunoog01,OG Anunoby,SF,TOR,67,1352,404,67,202,0.332,116,202,0.574,2018-2019
arcidry01,Ryan Arcidiacono,PG,CHI,81,1961,418,81,217,0.373,106,201,0.527,2018-2019
arizatr01,Trevor Ariza,SF,TOT,69,2349,736,145,434,0.334,149,302,0.493,2018-2019
augusdj01,D.J. Augustin,PG,ORL,81,2269,677,131,311,0.421,187,366,0.511,2018-2019
aytonde01,Deandre Ayton,C,PHO,71,2183,870,0,4,0.0,509,866,0.588,2018-2019
bacondw01,Dwayne Bacon,SG,CHO,43,759,257,38,87,0.437,84,170,0.494,2018-2019
baglema01,Marvin Bagley III,PF,SAC,62,1567,706,30,96,0.313,326,610,0.534,2018-2019
bakerro01,Ron Baker,SG,TOT,15,152,20,1,13,0.077,3,7,0.429,2018-2019
baldwwa01,Wade Baldwin,PG,POR,16,94,33,2,9,0.222,8,24,0.333,2018-2019
balllo01,Lonzo Ball,PG,LAL,47,1423,456,75,228,0.329,110,228,0.482,2018-2019
bambamo01,Mo Bamba,C,ORL,47,766,243,21,70,0.3,96,173,0.555,2018-2019
bareajo01,J.J. Barea,PG,DAL,38,752,385,38,128,0.297,123,257,0.479,2018-2019
barneha02,Harrison Barnes,PF,TOT,77,2533,1027,174,441,0.395,257,586,0.439,2018-2019
bartowi01,Will Barton,SF,DEN,43,1189,460,67,196,0.342,118,264,0.447,2018-2019
bateske01,Keita Bates-Diop,SF,MIN,30,503,142,13,52,0.25,47,90,0.522,2018-2019
batumni01,Nicolas Batum,SF,CHO,75,2354,562,116,298,0.389,137,264,0.519,2018-2019
bayleje01,Jerryd Bayless,PG,MIN,34,657,230,29,98,0.296,53,132,0.402,2018-2019
baynear01,Aron Baynes,C,BOS,51,821,223,21,61,0.344,84,162,0.519,2018-2019
bazemke01,Kent Bazemore,SG,ATL,67,1643,691,96,300,0.32,182,391,0.465,2018-2019
bealbr01,Bradley Beal,SG,WAS,82,3028,1609,209,596,0.351,555,1013,0.548,2018-2019
beaslma01,Malik Beasley,SG,DEN,81,1879,737,163,405,0.402,186,332,0.56,2018-2019
beaslmi01,Michael Beasley,PF,LAL,26,277,153,3,17,0.176,72,136,0.529,2018-2019
belinma01,Marco Belinelli,SG,SAS,79,1815,690,147,395,0.372,138,295,0.468,2018-2019
belljo01,Jordan Bell,C,GSW,68,788,192,0,2,0.0,99,190,0.521,2018-2019
bembrde01,DeAndre' Bembry,SG,ATL,82,1931,616,50,173,0.289,225,443,0.508,2018-2019
bendedr01,Dragan Bender,PF,PHO,46,826,197,22,101,0.218,66,96,0.688,2018-2019
bertada02,Dairis Bertāns,SG,NOP,12,167,47,10,34,0.294,2,13,0.154,2018-2019
bertada01,Dāvis Bertāns,PF,SAS,76,1632,453,145,338,0.429,59,115,0.513,2018-2019
beverpa01,Patrick Beverley,PG,LAC,78,2137,477,112,282,0.397,82,195,0.421,2018-2019
birchkh01,Khem Birch,C,ORL,50,643,151,0,1,0.0,91,150,0.607,2018-2019
biyombi01,Bismack Biyombo,C,CHO,54,783,156,0,0,,89,156,0.571,2018-2019
bjeline01,Nemanja Bjelica,PF,SAC,77,1788,593,103,257,0.401,181,336,0.539,2018-2019
blakean01,Antonio Blakeney,SG,CHI,57,829,396,36,91,0.396,130,305,0.426,2018-2019
bledser01,Eric Bledsoe,PG,MIL,78,2272,971,124,377,0.329,346,594,0.582,2018-2019
blossja01,Jaron Blossomgame,SF,CLE,27,439,106,10,39,0.256,37,67,0.552,2018-2019
bogdabo01,Bogdan Bogdanović,SG,SAC,70,1947,863,134,372,0.36,227,491,0.462,2018-2019
