PlayerID,Player,Pos,Tm,G,MP,FGA,3P,3PA,3P%,2P,2PA,2P%,Season
abrinal01,Álex Abrines,SG,OKC,75,1134,291,84,221,0.38,31,70,0.443,2017-2018
acyqu01,Quincy Acy,PF,BRK,70,1359,365,102,292,0.349,28,73,0.384,2017-2018
adamsst01,Steven Adams,C,OKC,76,2487,712,0,2,0.0,448,710,0.631,2017-2018
adebaba01,Bam Adebayo,C,MIA,69,1368,340,0,7,0.0,174,333,0.523,2017-2018
afflaar01,Arron Afflalo,SG,ORL,53,682,162,27,70,0.386,38,92,0.413,2017-2018
aldrico01,Cole Aldrich,C,MIN,21,49,15,0,0,,5,15,0.333,2017-2018
aldrila01,LaMarcus Aldridge,C,SAS,75,2509,1347,27,92,0.293,660,1255,0.526,2017-2018
allenja01,Jarrett Allen,C,BRK,72,1441,397,5,15,0.333,229,382,0.599,2017-2018
allenka01,Kadeem Allen,PG,BOS,18,107,22,0,11,0.0,6,11,0.545,2017-2018
allento01,Tony Allen,SF,NOP,22,273,91,4,12,0.333,40,79,0.506,2017-2018
aminual01,Al-Farouq Aminu,PF,POR,69,2072,582,125,339,0.369,105,243,0.432,2017-2018
anderju01,Justin Anderson,SF,PHI,38,519,202,34,103,0.33,53,99,0.535,2017-2018
anderky01,Kyle Anderson,SF,SAS,74,1978,438,19,57,0.333,212,381,0.556,2017-2018
anderry01,Ryan Anderson,PF,HOU,66,1725,480,131,339,0.386,76,141,0.539,2017-2018
anigbik01,Ike Anigbogu,C,IND,11,30,9,0,0,,4,9,0.444,2017-2018
antetgi01,Giannis Antetokounmpo,PF,MIL,75,2756,1402,43,140,0.307,699,1262,0.554,2017-2018
anthoca01,Carmelo Anthony,PF,OKC,78,2501,1168,169,474,0.357,303,694,0.437,2017-2018
anunoog01,OG Anunoby,SF,TOR,74,1481,346,73,197,0.371,90,149,0.604,2017-2018
arcidry01,Ryan Arcidiacono,PG,CHI,24,304,41,9,31,0.29,8,10,0.8,2017-2018
arizatr01,Trevor Ariza,SF,HOU,67,2269,651,170,462,0.368,98,189,0.519,2017-2018
arthuda01,Darrell Arthur,PF,DEN,19,141,47,8,23,0.348,14,24,0.583,2017-2018
artisja01,Jamel Artis,SG,ORL,15,279,79,8,29,0.276,23,50,0.46,2017-2018
asikom01,Ömer Aşık,C,TOT,18,182,22,0,0,,9,22,0.409,2017-2018
augusdj01,D.J. Augustin,PG,ORL,75,1760,540,114,272,0.419,130,268,0.485,2017-2018
babbilu01,Luke Babbitt,SF,TOT,50,715,215,60,156,0.385,31,59,0.525,2017-2018
bacondw01,Dwayne Bacon,SG,CHO,53,713,192,11,43,0.256,61,149,0.409,2017-2018
bakerro01,Ron Baker,SG,NYK,29,385,59,11,33,0.333,9,26,0.346,2017-2018
baldwwa01,Wade Baldwin,PG,POR,7,80,21,4,5,0.8,10,16,0.625,2017-2018
balllo01,Lonzo Ball,PG,LAL,52,1780,564,90,295,0.305,113,269,0.42,2017-2018
bareajo01,J.J. Barea,PG,DAL,69,1603,690,115,313,0.367,188,377,0.499,2017-2018
barneha02,Harrison Barnes,PF,DAL,77,2634,1208,119,333,0.357,418,875,0.478,2017-2018
bartowi01,Will Barton,SG,DEN,81,2683,1028,156,422,0.37,309,606,0.51,2017-2018
batumni01,Nicolas Batum,SG,CHO,64,1981,650,92,274,0.336,178,376,0.473,2017-2018
bayleje01,Jerryd Bayless,SG,PHI,39,925,262,54,146,0.37,55,116,0.474,2017-2018
baynear01,Aron Baynes,C,BOS,81,1485,446,3,21,0.143,207,425,0.487,2017-2018
bazemke01,Kent Bazemore,SG,ATL,65,1789,676,108,274,0.394,176,402,0.438,2017-2018
