PlayerID,Player,Pos,Tm,G,MP,FGA,3P,3PA,3P%,2P,2PA,2P%,Season
abdursh01,Shareef Abdur-Rahim,PF,TOT,85,2684,1054,9,34,0.265,492,1020,0.482,2003-2004
allenma01,Malik Allen,PF,MIA,45,616,198,0,0,,83,198,0.419,2003-2004
allenra02,Ray Allen*,SG,SEA,56,2152,1017,148,378,0.392,299,639,0.468,2003-2004
alstora01,Rafer Alston,PG,MIA,82,2581,764,161,434,0.371,126,330,0.382,2003-2004
anderch01,Chris Andersen,PF,DEN,71,1029,203,0,1,0.0,90,202,0.446,2003-2004
anderde01,Derek Anderson,SG,POR,51,1810,612,79,259,0.305,151,353,0.428,2003-2004
anderke01,Kenny Anderson,PG,IND,44,905,256,1,4,0.25,112,252,0.444,2003-2004
andersh01,Shandon Anderson,SG,NYK,80,1974,564,36,128,0.281,202,436,0.463,2003-2004
anthoca01,Carmelo Anthony,SF,DEN,82,2995,1465,69,214,0.322,555,1251,0.444,2003-2004
archiro01,Robert Archibald,C,TOT,32,256,33,0,0,,9,33,0.273,2003-2004
arenagi01,Gilbert Arenas,PG,WAS,55,2066,914,125,333,0.375,233,581,0.401,2003-2004
armstbr01,Brandon Armstrong,SG,NJN,56,434,175,19,52,0.365,46,123,0.374,2003-2004
armstda01,Darrell Armstrong,PG,NOH,79,2247,736,135,429,0.315,156,307,0.508,2003-2004
arroyca01,Carlos Arroyo,PG,UTA,71,2008,768,38,117,0.325,301,651,0.462,2003-2004
atkinch01,Chucky Atkins,PG,TOT,64,1544,484,81,241,0.336,111,243,0.457,2003-2004
augmost01,Stacey Augmon,SF,NOH,69,1416,347,1,7,0.143,142,340,0.418,2003-2004
bakervi01,Vin Baker,PF,TOT,54,1313,432,1,3,0.333,207,429,0.483,2003-2004
banksma01,Marcus Banks,PG,BOS,81,1385,442,27,86,0.314,150,356,0.421,2003-2004
barbole01,Leandro Barbosa,PG,PHO,70,1500,470,83,210,0.395,127,260,0.488,2003-2004
barnema02,Matt Barnes,SF,LAC,38,724,138,2,13,0.154,61,125,0.488,2003-2004
barroda01,Dana Barros,SG,BOS,1,11,3,0,0,,2,3,0.667,2003-2004
barrybr01,Brent Barry,SG,SEA,59,1803,427,114,252,0.452,101,175,0.577,2003-2004
barryjo01,Jon Barry,SG,DEN,57,1101,297,51,138,0.37,69,159,0.434,2003-2004
bateeme01,Mengke Bateer,C,TOR,7,40,7,0,0,,4,7,0.571,2003-2004
battito01,Tony Battie,C,TOT,73,1478,384,2,9,0.222,168,375,0.448,2003-2004
battish01,Shane Battier,SF,MEM,79,1947,543,65,186,0.349,177,357,0.496,2003-2004
baxtelo01,Lonny Baxter,C,TOT,62,766,209,1,3,0.333,102,206,0.495,2003-2004
beaslje01,Jerome Beasley,PF,MIA,2,5,3,0,0,,1,3,0.333,2003-2004
bellra01,Raja Bell,SG,UTA,82,2020,805,62,166,0.373,267,639,0.418,2003-2004
belltr01,Troy Bell,PG,MEM,6,34,18,0,4,0.0,4,14,0.286,2003-2004
bendejo01,Jonathan Bender,SF,IND,21,271,106,9,22,0.409,41,84,0.488,2003-2004
besttr01,Travis Best,PG,DAL,61,762,172,3,20,0.15,61,152,0.401,2003-2004
bibbymi01,Mike Bibby,PG,SAC,82,2980,1170,148,378,0.392,379,792,0.479,2003-2004
billuch01,Chauncey Billups,PG,DET,78,2758,996,130,335,0.388,262,661,0.396,2003-2004
blakest01,Steve Blake,PG,WAS,75,1392,407,75,202,0.371,82,205,0.4,2003-2004
blounco01,Corie Blount,PF,TOT,62,1050,253,0,3,0.0,115,250,0.46,2003-2004
