PlayerID,Player,Pos,Tm,G,MP,FGA,3P,3PA,3P%,2P,2PA,2P%,Season
acyqu01,Quincy Acy,PF,NYK,68,1287,331,18,60,0.3,134,271,0.494,2014-2015
adamsjo01,Jordan Adams,SG,MEM,30,248,86,10,25,0.4,25,61,0.41,2014-2015
adamsst01,Steven Adams,C,OKC,70,1771,399,0,2,0.0,217,397,0.547,2014-2015
adrieje01,Jeff Adrien,PF,MIN,17,215,44,0,0,,19,44,0.432,2014-2015
afflaar01,Arron Afflalo,SG,TOT,78,2502,884,118,333,0.354,257,551,0.466,2014-2015
ajincal01,Alexis Ajinça,C,NOP,68,957,329,0,0,,181,329,0.55,2014-2015
aldemfu01,Furkan Aldemir,PF,PHI,41,540,78,0,5,0.0,40,73,0.548,2014-2015
aldrico01,Cole Aldrich,C,NYK,61,976,301,0,0,,144,301,0.478,2014-2015
aldrila01,LaMarcus Aldridge,PF,POR,71,2512,1415,37,105,0.352,622,1310,0.475,2014-2015
allenla01,Lavoy Allen,C,IND,63,1070,299,0,0,,141,299,0.472,2014-2015
allento01,Tony Allen,SG,MEM,63,1648,455,10,29,0.345,215,426,0.505,2014-2015
aminual01,Al-Farouq Aminu,SF,DAL,74,1366,357,34,124,0.274,113,233,0.485,2014-2015
amundlo01,Lou Amundson,PF,TOT,53,937,255,0,1,0.0,109,254,0.429,2014-2015
anderch01,Chris Andersen,C,MIA,60,1132,207,4,13,0.308,116,194,0.598,2014-2015
anderal01,Alan Anderson,SG,BRK,74,1744,440,73,210,0.348,122,230,0.53,2014-2015
anderky01,Kyle Anderson,SF,SAS,33,358,89,3,11,0.273,28,78,0.359,2014-2015
anderry01,Ryan Anderson,PF,NOP,61,1675,729,122,359,0.34,169,370,0.457,2014-2015
antetgi01,Giannis Antetokounmpo,SG,MIL,81,2541,780,7,44,0.159,376,736,0.511,2014-2015
anthoca01,Carmelo Anthony,SF,NYK,40,1428,806,61,179,0.341,297,627,0.474,2014-2015
anthojo01,Joel Anthony,C,DET,49,406,62,0,0,,36,62,0.581,2014-2015
anticpe01,Pero Antić,C,ATL,63,1037,296,52,173,0.301,56,123,0.455,2014-2015
arizatr01,Trevor Ariza,SF,HOU,82,2930,910,194,555,0.35,172,355,0.485,2014-2015
arthuda01,Darrell Arthur,PF,DEN,58,988,384,26,110,0.236,129,274,0.471,2014-2015
asikom01,Ömer Aşık,C,NOP,76,1982,412,0,0,,213,412,0.517,2014-2015
augusdj01,D.J. Augustin,PG,TOT,82,1964,647,83,246,0.337,175,401,0.436,2014-2015
pendeje02,Jeff Ayres,PF,SAS,51,383,95,0,0,,55,95,0.579,2014-2015
babbilu01,Luke Babbitt,SF,NOP,63,830,192,59,115,0.513,33,77,0.429,2014-2015
bairsca01,Cameron Bairstow,PF,CHI,18,64,14,0,0,,3,14,0.214,2014-2015
barbole01,Leandro Barbosa,SG,GSW,66,982,386,43,112,0.384,140,274,0.511,2014-2015
bareajo01,J.J. Barea,PG,DAL,77,1362,536,54,167,0.323,171,369,0.463,2014-2015
bargnan01,Andrea Bargnani,C,NYK,29,785,361,15,41,0.366,149,320,0.466,2014-2015
barneha02,Harrison Barnes,SF,GSW,82,2318,656,87,215,0.405,229,441,0.519,2014-2015
barnema02,Matt Barnes,SF,LAC,76,2271,624,136,376,0.362,141,248,0.569,2014-2015
barroea01,Earl Barron,C,PHO,16,143,39,2,4,0.5,10,35,0.286,2014-2015
bartowi01,Will Barton,SG,TOT,58,983,353,23,85,0.271,127,268,0.474,2014-2015
bassbr01,Brandon Bass,PF,BOS,82,1929,683,9,32,0.281,335,651,0.515,2014-2015
batumni01,Nicolas Batum,SF,POR,71,2380,600,100,309,0.324,140,291,0.481,2014-2015
bayleje01,Jerryd Bayless,PG,MIL,77,1717,516,37,120,0.308,183,396,0.462,2014-2015
baynear01,Aron Baynes,C,SAS,70,1122,327,1,4,0.25,184,323,0.57,2014-2015
bazemke01,Kent Bazemore,SG,ATL,75,1324,331,48,132,0.364,93,199,0.467,2014-2015
bealbr01,Bradley Beal,SG,WAS,63,2107,851,106,259,0.409,257,592,0.434,2014-2015
beaslmi01,Michael Beasley,PF,MIA,24,505,212,8,34,0.235,84,178,0.472,2014-2015
belinma01,Marco Belinelli,SG,SAS,62,1388,470,86,230,0.374,113,240,0.471,2014-2015
benimje01,Jerrelle Benimon,PF,UTA,2,3,0,0,0,,0,0,,2014-2015
bennean01,Anthony Bennett,PF,MIN,57,894,297,7,23,0.304,118,274,0.431,2014-2015
