PlayerID,Player,Pos,Tm,G,MP,FGA,3P,3PA,3P%,2P,2PA,2P%,Season
abdursh01,Shareef Abdur-Rahim,PF,POR,54,1867,670,15,39,0.385,322,631,0.51,2004-2005
alexaco01,Cory Alexander,SG,CHA,16,201,49,8,19,0.421,8,30,0.267,2004-2005
allenma01,Malik Allen,PF,TOT,36,519,177,0,0,,84,177,0.475,2004-2005
allenra02,Ray Allen*,SG,SEA,78,3064,1494,209,556,0.376,431,938,0.459,2004-2005
allento01,Tony Allen,SG,BOS,77,1262,387,12,31,0.387,172,356,0.483,2004-2005
alstora01,Rafer Alston,PG,TOR,80,2717,974,139,389,0.357,264,585,0.451,2004-2005
anderch01,Chris Andersen,C,NOH,67,1430,358,0,3,0.0,191,355,0.538,2004-2005
anderde01,Derek Anderson,SG,POR,47,1239,391,58,151,0.384,94,240,0.392,2004-2005
anderke01,Kenny Anderson,PG,TOT,43,743,201,6,13,0.462,79,188,0.42,2004-2005
andersh01,Shandon Anderson,SF,TOT,66,1171,217,5,29,0.172,93,188,0.495,2004-2005
anthoca01,Carmelo Anthony,SF,DEN,75,2608,1230,42,158,0.266,488,1072,0.455,2004-2005
araujra01,Rafael Araújo,C,TOR,59,736,175,1,3,0.333,75,172,0.436,2004-2005
arenagi01,Gilbert Arenas,PG,WAS,80,3274,1523,205,562,0.365,451,961,0.469,2004-2005
arizatr01,Trevor Ariza,SF,NYK,80,1382,389,3,13,0.231,169,376,0.449,2004-2005
armstda01,Darrell Armstrong,PG,TOT,66,988,277,28,111,0.252,61,166,0.367,2004-2005
arroyca01,Carlos Arroyo,PG,TOT,70,1448,429,8,30,0.267,159,399,0.398,2004-2005
atkinch01,Chucky Atkins,PG,LAL,82,2903,910,176,455,0.387,212,455,0.466,2004-2005
augmost01,Stacey Augmon,SF,ORL,55,663,167,0,0,,68,167,0.407,2004-2005
bakerma01,Maurice Baker,PG,TOT,5,19,1,0,0,,0,1,0.0,2004-2005
bakervi01,Vin Baker,PF,TOT,27,204,42,0,1,0.0,13,41,0.317,2004-2005
banksma01,Marcus Banks,PG,BOS,81,1145,286,21,59,0.356,94,227,0.414,2004-2005
barbole01,Leandro Barbosa,PG,PHO,63,1087,354,51,139,0.367,117,215,0.544,2004-2005
barnema02,Matt Barnes,SF,SAC,43,715,151,5,22,0.227,57,129,0.442,2004-2005
barrean01,Andre Barrett,PG,TOT,38,483,124,14,52,0.269,31,72,0.431,2004-2005
barrybr01,Brent Barry,SG,SAS,81,1742,459,100,280,0.357,94,179,0.525,2004-2005
barryjo01,Jon Barry,SG,TOT,69,1505,368,71,165,0.43,90,203,0.443,2004-2005
battito01,Tony Battie,C,ORL,81,1894,354,0,6,0.0,163,348,0.468,2004-2005
battish01,Shane Battier,SG,MEM,80,2516,613,70,177,0.395,201,436,0.461,2004-2005
baxtelo01,Lonny Baxter,PF,NOH,4,36,11,0,0,,3,11,0.273,2004-2005
bellra01,Raja Bell,SG,UTA,63,1790,667,54,134,0.403,249,533,0.467,2004-2005
bendejo01,Jonathan Bender,SF,IND,7,93,40,1,5,0.2,15,35,0.429,2004-2005
besttr01,Travis Best,PG,NJN,76,1461,452,26,85,0.306,164,367,0.447,2004-2005
bibbymi01,Mike Bibby,PG,SAC,80,3084,1264,131,364,0.36,429,900,0.477,2004-2005
biedran01,Andris Biedriņš,C,GSW,30,384,78,0,1,0.0,45,77,0.584,2004-2005
billuch01,Chauncey Billups,PG,DET,80,2866,913,165,387,0.426,239,526,0.454,2004-2005
blakest01,Steve Blake,PG,WAS,44,648,186,36,93,0.387,25,93,0.269,2004-2005
blounma01,Mark Blount,C,BOS,82,2130,618,0,1,0.0,327,617,0.53,2004-2005
bobbito01,Tony Bobbitt,SG,LAL,2,12,5,1,2,0.5,1,3,0.333,2004-2005
boganke01,Keith Bogans,SG,CHA,74,1791,688,57,173,0.329,205,515,0.398,2004-2005
bonnema01,Matt Bonner,C,TOR,82,1553,463,39,92,0.424,208,371,0.561,2004-2005
