PlayerID,Player,Pos,Tm,G,MP,FGA,3P,3PA,3P%,2P,2PA,2P%,Season
acyqu01,Quincy Acy,PF,TOR,29,342,75,1,2,0.5,41,73,0.562,2012-2013
adrieje01,Jeff Adrien,PF,CHA,52,713,168,0,2,0.0,72,166,0.434,2012-2013
afflaar01,Arron Afflalo,SF,ORL,64,2307,905,72,240,0.3,325,665,0.489,2012-2013
akognjo01,Josh Akognon,PG,DAL,3,9,4,1,2,0.5,1,2,0.5,2012-2013
aldrico01,Cole Aldrich,C,TOT,45,388,80,0,0,,44,80,0.55,2012-2013
aldrila01,LaMarcus Aldridge,PF,POR,74,2790,1318,2,14,0.143,636,1304,0.488,2012-2013
allenla01,Lavoy Allen,C,PHI,79,1669,454,0,1,0.0,206,453,0.455,2012-2013
allenra02,Ray Allen*,SG,MIA,79,2035,651,139,332,0.419,153,319,0.48,2012-2013
allento01,Tony Allen,SG,MEM,79,2109,638,3,24,0.125,281,614,0.458,2012-2013
aminual01,Al-Farouq Aminu,SF,NOH,76,2066,474,4,19,0.211,221,455,0.486,2012-2013
amundlo01,Lou Amundson,PF,TOT,39,372,81,0,0,,32,81,0.395,2012-2013
anderch01,Chris Andersen,C,MIA,42,624,123,2,3,0.667,69,120,0.575,2012-2013
anderal01,Alan Anderson,SF,TOR,65,1495,616,95,285,0.333,141,331,0.426,2012-2013
anderja01,James Anderson,SG,TOT,39,401,126,21,60,0.35,31,66,0.47,2012-2013
anderry01,Ryan Anderson,PF,NOH,81,2503,1115,213,557,0.382,259,558,0.464,2012-2013
anthoca01,Carmelo Anthony,PF,NYK,67,2482,1489,157,414,0.379,512,1075,0.476,2012-2013
anthojo01,Joel Anthony,C,MIA,62,566,68,0,0,,35,68,0.515,2012-2013
arizatr01,Trevor Ariza,SF,WAS,56,1471,451,76,209,0.364,112,242,0.463,2012-2013
arthuda01,Darrell Arthur,PF,MEM,59,970,359,5,18,0.278,157,341,0.46,2012-2013
asikom01,Ömer Aşık,C,HOU,82,2464,614,0,1,0.0,332,613,0.542,2012-2013
augusdj01,D.J. Augustin,PG,IND,76,1226,294,67,190,0.353,36,104,0.346,2012-2013
ayongu01,Gustavo Ayón,C,TOT,55,734,167,0,0,,92,167,0.551,2012-2013
pendeje02,Jeff Ayres,PF,IND,37,369,126,2,4,0.5,59,122,0.484,2012-2013
babbilu01,Luke Babbitt,PF,POR,62,730,234,62,178,0.348,24,56,0.429,2012-2013
barbole01,Leandro Barbosa,PG,BOS,41,513,193,18,47,0.383,65,146,0.445,2012-2013
bareajo01,J.J. Barea,PG,MIN,74,1713,758,97,280,0.346,219,478,0.458,2012-2013
bargnan01,Andrea Bargnani,PF,TOR,35,1003,426,38,123,0.309,132,303,0.436,2012-2013
barneha02,Harrison Barnes,SF,GSW,81,2058,628,52,145,0.359,224,483,0.464,2012-2013
barnema02,Matt Barnes,SF,LAC,80,2058,675,111,325,0.342,201,350,0.574,2012-2013
barroea01,Earl Barron,C,TOT,12,159,51,0,0,,18,51,0.353,2012-2013
bartowi01,Will Barton,SG,POR,73,894,309,9,65,0.138,109,244,0.447,2012-2013
bassbr01,Brandon Bass,PF,BOS,81,2239,589,0,2,0.0,286,587,0.487,2012-2013
battish01,Shane Battier,SF,MIA,72,1786,362,136,316,0.43,16,46,0.348,2012-2013
batumni01,Nicolas Batum,SF,POR,73,2807,833,165,444,0.372,187,389,0.481,2012-2013
bayleje01,Jerryd Bayless,PG,MEM,80,1765,621,71,201,0.353,189,420,0.45,2012-2013
baynear01,Aron Baynes,C,SAS,16,141,36,0,1,0.0,18,35,0.514,2012-2013
bazemke01,Kent Bazemore,SG,GSW,61,267,116,10,34,0.294,33,82,0.402,2012-2013
bealbr01,Bradley Beal,SG,WAS,56,1745,687,91,236,0.386,191,451,0.424,2012-2013
beaslmi01,Michael Beasley,SF,PHO,75,1554,766,45,144,0.313,265,622,0.426,2012-2013
beaubro01,Rodrigue Beaubois,PG,DAL,45,549,176,21,72,0.292,44,104,0.423,2012-2013
belinma01,Marco Belinelli,SG,CHI,73,1882,610,79,221,0.357,162,389,0.416,2012-2013
beverpa01,Patrick Beverley,PG,HOU,41,713,189,36,96,0.375,43,93,0.462,2012-2013
biedran01,Andris Biedriņš,C,GSW,53,495,21,0,0,,10,21,0.476,2012-2013
billuch01,Chauncey Billups,SG,LAC,22,418,132,33,90,0.367,20,42,0.476,2012-2013
biyombi01,Bismack Biyombo,C,CHA,80,2186,346,0,0,,156,346,0.451,2012-2013
blairde01,DeJuan Blair,PF,SAS,61,851,271,0,1,0.0,142,270,0.526,2012-2013
blakest01,Steve Blake,PG,LAL,45,1175,270,72,171,0.421,42,99,0.424,2012-2013
blatcan01,Andray Blatche,C,BRK,82,1555,676,3,22,0.136,343,654,0.524,2012-2013
bledser01,Eric Bledsoe,PG,LAC,76,1553,568,31,78,0.397,222,490,0.453,2012-2013
boganke01,Keith Bogans,SG,BRK,74,1408,284,84,245,0.343,24,39,0.615,2012-2013
bogutan01,Andrew Bogut,C,GSW,32,786,184,1,1,1.0,82,183,0.448,2012-2013
bonnema01,Matt Bonner,PF,SAS,68,909,230,53,120,0.442,59,110,0.536,2012-2013
booketr01,Trevor Booker,PF,WAS,48,887,220,0,5,0.0,108,215,0.502,2012-2013
boozeca01,Carlos Boozer,PF,CHI,79,2546,1140,0,2,0.0,544,1138,0.478,2012-2013
boshch01,Chris Bosh*,C,MIA,74,2454,907,21,74,0.284,464,833,0.557,2012-2013
bradlav01,Avery Bradley,PG,BOS,50,1435,478,40,126,0.317,152,352,0.432,2012-2013
brandel01,Elton Brand,C,DAL,72,1527,478,0,1,0.0,226,477,0.474,2012-2013
breweco01,Corey Brewer,SF,DEN,82,2003,883,91,307,0.296,284,576,0.493,2012-2013
brewero02,Ronnie Brewer,SF,TOT,60,853,198,23,76,0.303,47,122,0.385,2012-2013
brookaa01,Aaron Brooks,PG,TOT,53,997,316,50,134,0.373,93,182,0.511,2012-2013
brookma01,MarShon Brooks,SG,BRK,73,912,335,15,55,0.273,140,280,0.5,2012-2013
brownkw01,Kwame Brown,C,PHI,22,269,37,0,0,,17,37,0.459,2012-2013
brownsh01,Shannon Brown,SG,PHO,59,1402,571,39,141,0.277,201,430,0.467,2012-2013
bryanko01,Kobe Bryant*,SG,LAL,78,3013,1595,132,407,0.324,606,1188,0.51,2012-2013
budinch01,Chase Budinger,SF,MIN,23,508,191,26,81,0.321,53,110,0.482,2012-2013
burksal01,Alec Burks,SG,UTA,64,1137,388,33,92,0.359,130,296,0.439,2012-2013
butleca01,Caron Butler,SF,LAC,78,1879,720,128,330,0.388,177,390,0.454,2012-2013
butleji01,Jimmy Butler,SF,CHI,82,2134,512,40,105,0.381,199,407,0.489,2012-2013
bynumwi01,Will Bynum,PG,DET,65,1219,540,24,76,0.316,229,464,0.494,2012-2013
caldejo01,José Calderón,PG,TOT,73,2160,635,130,282,0.461,182,353,0.516,2012-2013
cambyma01,Marcus Camby,PF,NYK,24,250,53,0,0,,17,53,0.321,2012-2013
carrode01,DeMarre Carroll,SF,UTA,66,1111,324,20,70,0.286,129,254,0.508,2012-2013
carroma01,Matt Carroll,SG,CHA,1,6,0,0,0,,0,0,,2012-2013
cartevi01,Vince Carter,SF,DAL,81,2093,855,162,399,0.406,210,456,0.461,2012-2013
casspom01,Omri Casspi,SF,CLE,43,503,160,25,76,0.329,38,84,0.452,2012-2013
chalmma01,Mario Chalmers,PG,MIA,77,2068,529,123,301,0.409,104,228,0.456,2012-2013
chandty01,Tyson Chandler,C,NYK,66,2164,400,0,0,,255,400,0.638,2012-2013
chandwi01,Wilson Chandler,PF,DEN,43,1079,455,52,126,0.413,158,329,0.48,2012-2013
childjo01,Josh Childress,SF,BRK,14,100,21,1,3,0.333,5,18,0.278,2012-2013
clarkea01,Earl Clark,PF,LAL,59,1363,386,35,104,0.337,135,282,0.479,2012-2013
clavevi01,Victor Claver,SF,POR,49,812,189,25,87,0.287,49,102,0.48,2012-2013
coleno01,Norris Cole,PG,MIA,80,1590,425,35,98,0.357,144,327,0.44,2012-2013
collija04,Jason Collins,C,TOT,38,384,29,0,0,,9,29,0.31,2012-2013
collida01,Darren Collison,PG,DAL,81,2372,724,48,136,0.353,293,588,0.498,2012-2013
collini01,Nick Collison,C,OKC,81,1583,296,0,4,0.0,176,292,0.603,2012-2013
conlemi01,Mike Conley,PG,MEM,80,2757,940,106,293,0.362,308,647,0.476,2012-2013
conrowi01,Will Conroy,PG,MIN,4,20,9,0,3,0.0,0,6,0.0,2012-2013
cookda02,Daequan Cook,SG,TOT,49,441,167,26,91,0.286,25,76,0.329,2012-2013
copelch01,Chris Copeland,PF,NYK,56,862,380,59,140,0.421,123,240,0.513,2012-2013
couside01,DeMarcus Cousins,C,SAC,75,2289,1036,4,22,0.182,478,1014,0.471,2012-2013
crawfja01,Jamal Crawford,SG,LAC,76,2230,1016,149,396,0.376,296,620,0.477,2012-2013
crawfjo02,Jordan Crawford,SG,TOT,70,1709,725,83,246,0.337,218,479,0.455,2012-2013
crowdja01,Jae Crowder,SF,DAL,78,1353,367,63,192,0.328,78,175,0.446,2012-2013
cunnida01,Dante Cunningham,PF,MIN,80,2010,671,0,6,0.0,314,665,0.472,2012-2013
cunnija01,Jared Cunningham,SG,DAL,8,26,14,2,3,0.667,4,11,0.364,2012-2013
curryed01,Eddy Curry,C,DAL,2,25,8,0,0,,4,8,0.5,2012-2013
curryst01,Stephen Curry,PG,GSW,78,2983,1388,272,600,0.453,354,788,0.449,2012-2013
dalemsa01,Samuel Dalembert,C,MIL,47,765,253,1,1,1.0,136,252,0.54,2012-2013
