PlayerID,Player,Pos,Tm,G,MP,FGA,3P,3PA,3P%,2P,2PA,2P%,Season
acyqu01,Quincy Acy,SF,TOT,63,847,141,4,15,0.267,62,126,0.492,2013-2014
adamsst01,Steven Adams,C,OKC,81,1197,185,0,0,,93,185,0.503,2013-2014
adrieje01,Jeff Adrien,PF,TOT,53,961,275,0,0,,143,275,0.52,2013-2014
afflaar01,Arron Afflalo,SG,ORL,73,2552,1011,128,300,0.427,336,711,0.473,2013-2014
ajincal01,Alexis Ajinça,C,NOP,56,951,249,0,1,0.0,136,248,0.548,2013-2014
aldrico01,Cole Aldrich,C,NYK,46,330,61,0,0,,33,61,0.541,2013-2014
aldrila01,LaMarcus Aldridge,PF,POR,69,2498,1423,3,15,0.2,649,1408,0.461,2013-2014
allenla01,Lavoy Allen,PF,TOT,65,1072,300,2,13,0.154,132,287,0.46,2013-2014
allenra02,Ray Allen*,SG,MIA,73,1936,543,116,309,0.375,124,234,0.53,2013-2014
allento01,Tony Allen,SG,MEM,55,1278,413,11,47,0.234,193,366,0.527,2013-2014
aminual01,Al-Farouq Aminu,SF,NOP,80,2045,494,13,48,0.271,221,446,0.496,2013-2014
amundlo01,Lou Amundson,PF,TOT,19,185,32,0,0,,16,32,0.5,2013-2014
anderch01,Chris Andersen,C,MIA,72,1396,275,3,12,0.25,174,263,0.662,2013-2014
anderal01,Alan Anderson,SF,BRK,78,1773,485,84,248,0.339,110,237,0.464,2013-2014
anderja01,James Anderson,SG,PHI,80,2309,717,115,351,0.328,194,366,0.53,2013-2014
anderry01,Ryan Anderson,PF,NOP,22,795,354,67,164,0.409,88,190,0.463,2013-2014
antetgi01,Giannis Antetokounmpo,SF,MIL,77,1897,418,41,118,0.347,132,300,0.44,2013-2014
anthoca01,Carmelo Anthony,PF,NYK,77,2982,1643,167,415,0.402,576,1228,0.469,2013-2014
anthojo01,Joel Anthony,C,TOT,33,186,32,0,0,,12,32,0.375,2013-2014
anticpe01,Pero Antić,C,ATL,50,925,294,56,171,0.327,67,123,0.545,2013-2014
arizatr01,Trevor Ariza,SF,WAS,77,2723,853,180,442,0.407,209,411,0.509,2013-2014
armsthi01,Hilton Armstrong,C,GSW,15,97,19,0,0,,9,19,0.474,2013-2014
arthuda01,Darrell Arthur,SF,DEN,68,1161,410,24,64,0.375,138,346,0.399,2013-2014
asikom01,Ömer Aşık,C,HOU,48,968,190,0,0,,101,190,0.532,2013-2014
augusdj01,D.J. Augustin,PG,TOT,71,1939,718,133,332,0.401,165,386,0.427,2013-2014
ayongu01,Gustavo Ayón,C,ATL,26,429,102,0,0,,52,102,0.51,2013-2014
pendeje02,Jeff Ayres,PF,SAS,73,952,174,0,0,,101,174,0.58,2013-2014
babbch01,Chris Babb,SG,BOS,14,132,30,6,27,0.222,2,3,0.667,2013-2014
