PlayerID,Player,Pos,Tm,G,MP,FGA,3P,3PA,3P%,2P,2PA,2P%,Season
ackeral01,Alex Acker,SG,TOT,25,199,76,7,20,0.35,23,56,0.411,2008-2009
adamsha01,Hassan Adams,SG,TOR,12,52,13,0,0,,4,13,0.308,2008-2009
afflaar01,Arron Afflalo,SG,DET,74,1234,300,43,107,0.402,88,193,0.456,2008-2009
agerma01,Maurice Ager,SG,NJN,20,97,43,0,6,0.0,15,37,0.405,2008-2009
ahearbl01,Blake Ahearn,PG,SAS,3,19,6,2,4,0.5,0,2,0.0,2008-2009
ajincal01,Alexis Ajinça,PF,CHA,31,182,69,0,2,0.0,25,67,0.373,2008-2009
aldrila01,LaMarcus Aldridge,PF,POR,81,3004,1243,7,28,0.25,594,1215,0.489,2008-2009
alexajo01,Joe Alexander,SF,MIL,59,716,245,16,46,0.348,86,199,0.432,2008-2009
allenma01,Malik Allen,PF,MIL,49,579,170,0,1,0.0,73,169,0.432,2008-2009
allenra02,Ray Allen*,SG,BOS,79,2876,1040,199,486,0.409,300,554,0.542,2008-2009
allento01,Tony Allen,SG,BOS,46,887,284,6,27,0.222,131,257,0.51,2008-2009
almonmo01,Morris Almond,SG,UTA,25,255,81,5,17,0.294,28,64,0.438,2008-2009
alstora01,Rafer Alston,PG,TOT,77,2447,820,112,331,0.338,204,489,0.417,2008-2009
amundlo01,Lou Amundson,PF,PHO,76,1044,250,0,1,0.0,134,249,0.538,2008-2009
anderch01,Chris Andersen,C,DEN,71,1460,292,2,10,0.2,158,282,0.56,2008-2009
anderry01,Ryan Anderson,PF,NJN,66,1312,407,69,189,0.365,91,218,0.417,2008-2009
anthoca01,Carmelo Anthony,SF,DEN,66,2277,1207,63,170,0.371,472,1037,0.455,2008-2009
anthojo01,Joel Anthony,C,MIA,65,1048,118,0,0,,57,118,0.483,2008-2009
arenagi01,Gilbert Arenas,PG,WAS,2,63,23,2,7,0.286,4,16,0.25,2008-2009
arizatr01,Trevor Ariza,SF,LAL,82,1999,596,61,191,0.319,213,405,0.526,2008-2009
armsthi01,Hilton Armstrong,C,NOH,70,1092,246,0,2,0.0,138,244,0.566,2008-2009
arthuda01,Darrell Arthur,PF,MEM,76,1464,436,0,2,0.0,191,434,0.44,2008-2009
atkinch01,Chucky Atkins,PG,TOT,33,412,113,15,57,0.263,19,56,0.339,2008-2009
augusdj01,D.J. Augustin,PG,CHA,72,1908,621,108,246,0.439,159,375,0.424,2008-2009
azubuke01,Kelenna Azubuike,SF,GSW,74,2375,845,94,210,0.448,298,635,0.469,2008-2009
balkmre01,Renaldo Balkman,PF,DEN,53,780,197,2,7,0.286,108,190,0.568,2008-2009
banksma01,Marcus Banks,PG,TOT,22,206,57,3,19,0.158,18,38,0.474,2008-2009
barbole01,Leandro Barbosa,SG,PHO,70,1705,759,90,240,0.375,276,519,0.532,2008-2009
bareajo01,J.J. Barea,SG,DAL,79,1600,557,55,154,0.357,191,403,0.474,2008-2009
bargnan01,Andrea Bargnani,PF,TOR,78,2453,958,119,291,0.409,312,667,0.468,2008-2009
barnema02,Matt Barnes,PF,PHO,77,2082,674,117,341,0.343,168,333,0.505,2008-2009
